layer,correlation,pvalue
1,0.1912383692581088,0.25686385863084893
2,-0.19906337382787642,0.23753840860010078
3,-0.21459482229211216,0.2021509542235608
4,-0.21957437065469157,0.19162750519938643
5,-0.06485268938883168,0.7029467270328927
6,-0.03023297220137492,0.8590147233279983
7,-0.055842078066068966,0.7427060704841617
8,-0.05192957578118515,0.7601836392813022
9,0.05465647131307387,0.7479893695321763
10,0.187562988323824,0.266291302089199
11,0.10717885047075658,0.5277855586321953
12,0.024660620462297975,0.8848071696292885
